fundo;marco;classificacao;detalhe;ref_et
FROTCD;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET (exemplos de fundos contábeis).;Tabela 2 (p. 10)
FROTCD;BASSI;Contábil;;Tabela 2 (p. 10)
FROTCD;AC1494;Contábil;Listado no Relatório do Acórdão, citando Bassi.;Tabela 2 (p. 10)
FIN;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 10)
FIN;BASSI;Contábil;;Tabela 2 (p. 10)
FIN;AC1494;Contábil;;Tabela 2 (p. 10)
FUST;DEC93872;Contábil;Citado no §2.1 como exemplo de fundo contábil.;§2.1 (p. 8)
FUST;BASSI;Contábil;;Tabela 2 (p. 10)
FUST;AC1494;Contábil;;Tabela 2 (p. 10)
FUST;AC749;Fiscalizado;Aplicação dos recursos vinculados às finalidades setoriais.;§5.1 (p. 21)
FISTEL;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 10)
FISTEL;BASSI;Contábil;Citado como extensão da Conta Única.;§2.3 (p. 14)
FISTEL;AC1494;Contábil;;Tabela 2 (p. 10)
FISTEL;AC749;Fiscalizado;Aplicação dos recursos vinculados às finalidades setoriais.;§5.1 (p. 21)
FUNTREDE;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 10)
FUNTREDE;BASSI;Contábil;;Tabela 2 (p. 10)
FUNTREDE;AC1494;Contábil;;Tabela 2 (p. 10)
FDD;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 10)
FDD;BASSI;Contábil;;Tabela 2 (p. 10)
FDD;AC1494;Contábil;;Tabela 2 (p. 10)
FDD;LC211;Superávit para a dívida;Superávit financeiro de 2025 a 2030 pode amortizar a dívida.;§4.2, nota 9 (p. 19)
FUNPEN;DEC93872;Contábil;Citado no §2.1 como exemplo de fundo contábil.;§2.1 (p. 8)
FUNPEN;BASSI;Contábil;;Tabela 2 (p. 10)
FUNPEN;AC1494;Contábil;;Tabela 2 (p. 10)
FUNPEN;AC1542;Fiscalizado;Baixa execução, superestimação da despesa e baixa governança.;§5.1 (p. 21)
FNSP;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 10)
FNSP;BASSI;Contábil;;Tabela 2 (p. 10)
FNSP;AC1494;Contábil;;Tabela 2 (p. 10)
FNA;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 10)
FNA;BASSI;Contábil;;Tabela 2 (p. 10)
FNA;AC1494;Contábil;;Tabela 2 (p. 10)
FNS;DEC93872;Contábil;Citado no §2.1 como exemplo de fundo contábil.;§2.1 (p. 8)
FNS;BASSI;Contábil;;Tabela 2 (p. 10)
FNS;AC1494;Contábil;;Tabela 2 (p. 10)
FNAC;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 10)
