"exercicio";"uo_cod";"uo_desc";"fonte_cod";"fonte_desc";"loa";"loa_mais_credito";"empenhado";"pago"
2023;"40901";"Fundo de Amparo ao Trabalhador";"1040";"Seguro-Desemprego, Abono Salarial e Previdência Social";34107245957;36498193974;36498193974;36352071186
2023;"74917";"Recursos sob Supervisão do Fundo de Desenvolvimento da Amazônia/FDA - MDR";"1114";"Pesquisa, Desenvolvimento e Tecnologia de Interesse do Desenvolvimento Regional";6210000;6210000;0;0
2023;"20101";"Presidência da República";"1120";"Recursos do FISTEL de Livre Aplicação na ANATEL e no Tesouro Nacional";0;263772041;263591506;156519038
2023;"53202";"Superintendência do Desenvolvimento da Amazônia";"1082";"Atividades de Avaliação dos Impactos Econômicos e Sociais da Aplicação dos Recursos dos Fundos de Desenvolvimento Regionais";339636;339636;339636;0
2023;"30107";"Departamento de Polícia Rodoviária Federal";"1020";"Sinalização, Engenharia de Tráfego e de Campo, Policiamento, Fiscalização e Educação de Trânsito";929563433;908135619;795639646;563194732
2023;"30108";"Departamento de Polícia Federal";"1025";"Reaparelhamento e Custeio das Atividades de Controle e Fiscalização de Produtos Químicos e de Repressão ao Tráfico Ilícito de Drogas";22538025;22538025;22168873;19650943
2023;"41902";"Fundo de Universalização dos Serviços de Telecomunicações - FUST";"1044";"Recursos do FISTEL destinados ao FUST";1e+07;1e+07;1e+07;1e+07
2023;"30905";"Fundo de Defesa de Direitos Difusos";"1083";"Reparação de Danos Causados a Interesses Difusos e Coletivos";498521579;497740381;68956440;28807760
2023;"74902";"Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior/FIES - Min. da Educação";"1124";"Fundo Garantidor do Fundo de Financiamento Estudantil - FG-FIES";496524801;496524801;496524801;496524801
2023;"44902";"Fundo Nacional sobre Mudança do Clima";"1072";"Desenvolvimento de Atividades de Gestão Ambiental Relacionadas à Cadeia Produtiva do Petróleo, ou apoio a projetos ou estudos e financiamento de empreendimentos que visem à mitigação da mudança do clima e à adaptação à mudança do clima e aos seus efeitos";3500000;3434707;3434707;3434707
2023;"74912";"Recursos sob Supervisão do Fundo Nacional de Cultura";"3029";"Fundo Setorial do Audiovisual - FSA, para o Desenvolvimento de Atividades Audiovisuais";0;158570937;158570937;1.5e+08
2023;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1098";"CT-Agronegócio e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";241482437;65454538;65454538;49947591
2023;"36901";"Fundo Nacional de Saúde";"3042";"Capitalização do Fundo Social";0;0;0;0
2023;"24901";"Fundo Nacional de Desenvolvimento Científico e Tecnológico";"1110";"CT-Info e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";53072921;33121281;33121281;30020064
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1107";"CT-Petro e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";560720196;349934968;349934968;349934968
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"1099";"CT-Biotecnologia e Recursos Genéticos, e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais";165894841;242271140;242271140;242271140
2023;"74910";"Recursos sob Sup. do Fundo Nac.de Desenv.Científico e Tecnológico/FNDCT-M.Ciência,Tecnol. e Inov.";"3105";"CT-Mineral e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais";0;3e+07;3e+07;3e+07
