id;sigla;nome;padrao_uo;uo_referencia;natureza_juridica;no_orcamento;fontes_referencia;ug;cnpj;observacao
FNS;FNS;Fundo Nacional de Saúde;FUNDO NACIONAL DE SAUDE;36901;Fundo especial;Sim;;;;
FAT;FAT;Fundo de Amparo ao Trabalhador;AMPARO AO TRABALHADOR;40901;Fundo especial;Sim;;;;
FNAS;FNAS;Fundo Nacional de Assistência Social;ASSISTENCIA SOCIAL;55901;Fundo especial;Sim;;;;
FRGPS;FRGPS;Fundo do Regime Geral de Previdência Social;REGIME GERAL DE PREVIDENCIA;33904;Fundo especial;Sim;;;;"Não citado no ET 01/2026; cadastrado para identificar a UO."
FCDF;FCDF;Fundo Constitucional do Distrito Federal;CONSTITUCIONAL DO DISTRITO FEDERAL;73901;Fundo especial;Sim;;;;UO atípica (Transferências a Estados, DF e Municípios), segundo Bassi (2019).
FNO;FNO;Fundo Constitucional de Financiamento do Norte;FINANCIAMENTO DO NORTE;74913;Fundo especial;Sim;;;;
FNE;FNE;Fundo Constitucional de Financiamento do Nordeste;FINANCIAMENTO DO NORDESTE;74915;Fundo especial;Sim;;;;
FCO;FCO;Fundo Constitucional de Financiamento do Centro-Oeste;FINANCIAMENTO DO CENTRO;74914;Fundo especial;Sim;;;;
FDA;FDA;Fundo de Desenvolvimento da Amazônia;DESENVOLVIMENTO DA AMAZONIA;74917;Fundo especial;Sim;;;;
FDNE;FDNE;Fundo de Desenvolvimento do Nordeste;DESENVOLVIMENTO DO NORDESTE;74918;Fundo especial;Sim;;;;
FDCO;FDCO;Fundo de Desenvolvimento do Centro-Oeste;DESENVOLVIMENTO DO CENTRO;74919;Fundo especial;Sim;;;;
FNDCT;FNDCT;Fundo Nacional de Desenvolvimento Científico e Tecnológico;DESENV(OLVIMENTO|\.) ?CIENTIFICO E TECNOLOGICO;24901|74910;Fundo especial;Sim;;;;Estruturado em duas UOs (dimensões contábil e financeira), segundo o ET 01/2026.
FUNTTEL;Funttel;Fundo para o Desenvolvimento Tecnológico das Telecomunicações;TECNOL(OGICO|\.) DAS TELECOMUNIC;24907|41903|74905;Fundo especial;Sim;;;;
FUST;Fust;Fundo de Universalização dos Serviços de Telecomunicações;UNIVERSALIZACAO;24906|41902|74920;Fundo especial;Sim;044;;;Fonte 044 — Recursos do FISTEL destinados ao FUST (confirmada no MTO 2026).
FISTEL;Fistel;Fundo de Fiscalização das Telecomunicações;FISCALIZACAO DAS TELECOMUNICACOES;;Fundo especial;Sim;;;;
FUNCAFE;Funcafé;Fundo de Defesa da Economia Cafeeira;ECONOMIA CAFEEIRA;22906|74901;Fundo especial;Sim;;;;
FMM;FMM;Fundo da Marinha Mercante;MARINHA MERCANTE;39901|68901|74904;Fundo especial;Sim;;;;
FNAC;FNAC;Fundo Nacional de Aviação Civil;AVIACAO CIVIL;39902|68902;Fundo especial;Sim;;;;
FNC;FNC;Fundo Nacional de Cultura;FUNDO NACIONAL (DE|DA) CULTURA|SUPERVISAO DO FNC;42902|73120|74912;Fundo especial;Sim;;;;
FNMC;FNMC;Fundo Nacional sobre Mudança do Clima;MUDANCA DO CLIMA;44902|74916;Fundo especial;Sim;;;;
FNMA;FNMA;Fundo Nacional do Meio Ambiente;FUNDO NACIONAL D[OE] MEIO AMBIENTE;44901;Fundo especial;Sim;;;;
FNDF;FNDF;Fundo Nacional de Desenvolvimento Florestal;DESENVOLVIMENTO FLORESTAL;;Fundo especial;Sim;068;;;Fonte 068 — FNDF (confirmada no MTO 2026). Não citado no ET 01/2026.
