id;ano;tipo;titulo;descricao;ref_et
LEI4320;1964;Norma;Lei nº 4.320/1964, arts. 71 a 74;Define fundo especial como produto de receitas especificadas que, por lei, se vinculam a objetivos determinados. A aplicação depende de dotação (art. 72), o saldo positivo passa ao exercício seguinte (art. 73) e a lei do fundo pode fixar normas próprias de controle (art. 74).;§2 e §4.2 (p. 6, 12 e 18)
DL200;1967;Norma;Decreto-Lei nº 200/1967;Promove a proliferação de fundos especiais como instrumento de flexibilização operacional.;§6 (p. 24)
DEC93872;1986;Taxonomia oficial;Decreto nº 93.872/1986, art. 71 — dicotomia contábil × financeiro;Contábil (§ 1º): disponibilidades evidenciadas em registros contábeis, com saque direto contra a caixa do Tesouro. Financeiro (§ 2º): recursos movimentados para estabelecimentos oficiais de crédito, segundo cronograma aprovado. No mesmo ano são criadas a STN e a Conta Única.;§2.1 (p. 7-9)
SIAFI;1987;Sistema;SIAFI;Passa a permitir identificar a origem e a destinação dos recursos sem a necessidade de fundos específicos.;§6 (p. 24)
CF88;1988;Norma;Constituição de 1988: arts. 167 (IV e IX), 165 (§ 9º, II) e 164 (§ 3º);"Não afetação da receita de impostos; vedação à instituição de fundos sem autorização legislativa; previsão de lei complementar sobre fundos, nunca editada; unidade de tesouraria. O art. 36 do ADCT extingue os fundos não ratificados.";§4.1 e §6 (p. 16, 24-25)
L8173;1991;Norma;Lei nº 8.173/1991 (PPA 1991-1995);Recria os fundos constantes dos orçamentos de 1990 e 1991 extintos pelo art. 36 do ADCT.;§6 (p. 24)
LRF;2000;Norma;LRF, art. 8º, parágrafo único;Recursos vinculados atendem exclusivamente ao objeto da vinculação, ainda que em exercício diverso.;§4.2 e §6 (p. 18, 24)
MP2170;2001;Norma;MP nº 2.170-36/2001;Recursos da União, inclusive de fundos, transitam pela Conta Única. Excepcionalmente, a critério do Ministro da Fazenda, podem ficar depositados no BB ou na CEF.;§4.1 (p. 17)
SANCHES;2002;Taxonomia (literatura);Sanches (2002) — seis categorias funcionais;"Programáticos; contábeis (inversões financeiras); de transferências legais; de redefinição de fontes; de garantia; de incentivos fiscais.";§2.3 (p. 13)
STNGT;2011;Taxonomia (governo);STN — GT de Padronização de Relatórios;"Transferência e repartições (FPE, FPM); programáticos; previdência; financiamentos; garantidores; poupança.";§2.3 (p. 14)
COSTA;2017;Taxonomia (literatura);Costa (2011 e 2017) — gestão de recursos e finalidade;"Transferência (meramente contábeis); programáticos; financiamento; garantidores; formação de poupança pública (soberanos). Para os privados: financiamento, garantidores, poupança compulsória e investimento.";§2.3 (p. 13)
TCU2015;2015;Controle;TCU — Parecer Prévio sobre as Contas de 2015;A desvinculação de recursos de fundos exige autorização específica na lei de criação (art. 73 da Lei nº 4.320/1964).;§5.1 (p. 19)
AC3001;2016;Controle;Acórdão nº 3.001/2016-TCU-Plenário (FIES);"Irregularidades na concessão de financiamentos e na gestão de garantias; ausência de informações consolidadas; risco de insustentabilidade.";§5.1 (p. 21)
AC749;2017;Controle;Acórdão nº 749/2017-TCU-Plenário (Fistel, Fust, Funttel);Problemas na aplicação de recursos vinculados. Determinação de divulgar o montante aplicado nas finalidades de cada fundo e o usado em outros fins.;§5.1 (p. 21)
BASSI;2019;Taxonomia (literatura);Bassi (2019), Ipea TD 2458 — contábil, financeiro e misto;"Acrescenta à dicotomia do Decreto a categoria mista: fundos que executam despesas e realizam financiamentos. Contábil = extensão da Conta Única; financeiro = alocado em estabelecimento de crédito.";§2.1 a §2.3 (p. 9-14)
SOF2019;2019;Taxonomia (governo);SOF (2019) — proposta preliminar;"Meramente contábil (repartição de receitas); de gestão orçamentária (programático); de gestão especial (financiamento, poupança, patrimonial, garantia ou avais, incentivos fiscais).";§2.3 (p. 14)
AC1542;2019;Controle;Acórdão nº 1.542/2019-TCU-Plenário (Funpen);Falhas de planejamento, baixa capacidade de execução por superestimação da despesa e baixa governança.;§5.1 (p. 21)
PLP22;2020;Taxonomia (proposta legislativa);PLP nº 22/2020;Fundos de gestão orçamentária (vinculação de receita), de gestão especial (investimentos e garantias) e de transferências de receitas.;§2.3 (p. 14)
AC734;2020;Controle;Acórdão nº 734/2020-TCU-Plenário (Fundeb);"Fundeb como fundo especial de natureza contábil; exige controle, transparência e rastreabilidade; fragilidades de governança e de controle social.";§5.1 (p. 20)
AC1494;2021;Controle;Acórdão nº 1.494/2021-TCU-Plenário — levantamento dos fundos;271 fundos no OGU, com dotação de R$ 1,48 trilhão em 2020. 48 fundos infraconstitucionais somavam superávit de cerca de R$ 266,53 bilhões no fim de 2019. Aponta ausência de acompanhamento sistemático e sobreposições, e adota as listas de Bassi (Tabelas 2 a 4 do ET).;§2.2 e §5.1 (p. 10-12, 19-20)
EC109;2021;Norma;Emenda Constitucional nº 109/2021;Art. 167, XIV: veda criar fundo público quando os objetivos puderem ser alcançados por vinculação de receitas. Autoriza, excepcionalmente, desvincular superávit de fundos infraconstitucionais para amortizar a dívida.;§4.2 e §6 (p. 19, 24)
INRFB2119;2022;Norma;IN RFB nº 2.119/2022;Fundos públicos e privados devem ter CNPJ para identificação fiscal e controle, sem que isso lhes confira personalidade jurídica.;§3.2 (p. 15)
STF;2021-2025;Jurisprudência;STF — ADI 6.930, ADI 4.981, ADI 3.704 e RE 1.506.320 (Tema 1.386);Decisões sobre fundos estaduais: tratamento de fundos especiais no teto do RRF, inconstitucionalidade de personalidade jurídica para fundo e reconhecimento de fundos atípicos (FOT/FEEF).;§5.1 (p. 21-23)
LC200;2023;Norma;LC nº 200/2023, art. 3º, § 2º, I;Transferências por fundos fora dos limites do RFS: fundos constitucionais de financiamento, FCDF e complementação da União ao Fundeb.;§2.2, nota 4 (p. 10)
LC211;2024;Norma;LC nº 211/2024;Autoriza, de 2025 a 2030, usar o superávit financeiro do FDD, do Funset e dos Fundos do Exército, Aeronáutico e Naval na amortização da dívida.;§4.2, nota 9 (p. 19)
PRIVADOS;2024;Norma;Leis nº 14.818/2024 (FIPEM) e nº 14.902/2024 (FNDIT);Fundos de natureza privada que executam políticas públicas fora do OGU, geridos pela Caixa e pelo BNDES. Estão sob fiscalização no TC 024.312/2024-0 e no TC 025.632/2024-8.;§6 (p. 25-26)
PLP2025;2025;Proposta legislativa;PLP nº 44/2025 e PLP nº 169/2025;Vedar a participação da União como cotista de fundo privado que custeie despesa primária, salvo garantidores, e vedar fundos privados quando a execução direta for possível.;§7 (p. 29)
LDO2026;2025;Norma;LDO 2026 (Lei nº 15.321/2025), arts. 29 e 142, e veto;"Art. 29 veda a criação de fundos para financiar políticas públicas; art. 142, III, trata da compatibilidade. Vetada a exigência de relatório consolidado sobre fundos (arrecadação, execução, saldos, patrimônio).";§6.1 (p. 26-27)
ET2026;2026;Estudo;ET nº 01/2026 — Conof/Câmara dos Deputados;Recomenda um cadastro consolidado de todos os fundos com recursos da União (identificação, base legal, natureza jurídica, fontes, execução, saldos e resultados) e uma tipologia que vá além da dicotomia.;§7 (p. 28-31)
