uo_cod;descricao;sigla;uo_de_fundo;fundo_id
01000;Câmara dos Deputados;CD;não;
01101;Câmara dos Deputados;CD;não;
01901;Fundo Rotativo da Câmara dos Deputados;FRCD;sim;FROTCD
02000;Senado Federal;SF;não;
02101;Senado Federal;SF;não;
02901;Fundo Especial do Senado Federal;FESF;sim;FESF
03000;Tribunal de Contas da União;TCU;não;
03101;Tribunal de Contas da União;TCU;não;
10000;Supremo Tribunal Federal;STF;não;
10101;Supremo Tribunal Federal;STF;não;
11000;Superior Tribunal de Justiça;STJ;não;
11101;Superior Tribunal de Justiça;STJ;não;
12000;Justiça Federal;JF;não;
12101;Justiça Federal de Primeiro Grau;JF/1º;não;
12102;Tribunal Regional Federal da 1a. Região;TRF1;não;
12103;Tribunal Regional Federal da 2a. Região;TRF2;não;
12104;Tribunal Regional Federal da 3a. Região;TRF3;não;
12105;Tribunal Regional Federal da 4a. Região;TRF4;não;
12106;Tribunal Regional Federal da 5a. Região;TRF5;não;
12107;Tribunal Regional Federal da 6a. Região;TRF6;não;
13000;Justiça Militar da União;JMU;não;
13101;Justiça Militar da União;JMU;não;
14000;Justiça Eleitoral;JE;não;
14101;Tribunal Superior Eleitoral;TSE;não;
14102;Tribunal Regional Eleitoral do Acre;TRE-AC;não;
14103;Tribunal Regional Eleitoral de Alagoas;TRE-AL;não;
14104;Tribunal Regional Eleitoral do Amazonas;TRE-AM;não;
14105;Tribunal Regional Eleitoral da Bahia;TRE-BA;não;
14106;Tribunal Regional Eleitoral do Ceará;TRE-CE;não;
14107;Tribunal Regional Eleitoral do Distrito Federal;TRE-DF;não;
14108;Tribunal Regional Eleitoral do Espírito Santo;TRE-ES;não;
14109;Tribunal Regional Eleitoral de Goiás;TRE-GO;não;
14110;Tribunal Regional Eleitoral do Maranhão;TRE-MA;não;
14111;Tribunal Regional Eleitoral de Mato Grosso;TRE-MT;não;
14112;Tribunal Regional Eleitoral de Mato Grosso do Sul;TRE-MS;não;
14113;Tribunal Regional Eleitoral de Minas Gerais;TRE-MG;não;
14114;Tribunal Regional Eleitoral do Pará;TRE-PA;não;
14115;Tribunal Regional Eleitoral da Paraíba;TRE-PB;não;
14116;Tribunal Regional Eleitoral do Paraná;TRE-PR;não;
14117;Tribunal Regional Eleitoral de Pernambuco;TRE-PE;não;
14118;Tribunal Regional Eleitoral do Piauí;TRE-PI;não;
14119;Tribunal Regional Eleitoral do Rio de Janeiro;TRE-RJ;não;
14120;Tribunal Regional Eleitoral do Rio Grande do Norte;TRE-RN;não;
14121;Tribunal Regional Eleitoral do Rio Grande do Sul;TRE-RS;não;
14122;Tribunal Regional Eleitoral de Rondônia;TRE-RO;não;
14123;Tribunal Regional Eleitoral de Santa Catarina;TRE-SC;não;
14124;Tribunal Regional Eleitoral de São Paulo;TRE-SP;não;
14125;Tribunal Regional Eleitoral de Sergipe;TRE-SE;não;
14126;Tribunal Regional Eleitoral de Tocantins;TRE-TO;não;
14127;Tribunal Regional Eleitoral de Roraima;TRE-RR;não;
14128;Tribunal Regional Eleitoral do Amapá;TRE-AP;não;
14901;Fundo Partidário;FP;sim;FP
15000;Justiça do Trabalho;JT;não;
15101;Tribunal Superior do Trabalho;TST;não;
