exercicio;uo_cod;uo_desc;categoria_bassi;loa_mais_credito;empenhado;liquidado;pago
2018;01901;Fundo Rotativo da Câmara dos Deputados;Contábil;75482695.00;6520805.12;6051161.66;6051161.66
2018;20927;Fundo de Imprensa Nacional;Contábil;326314990.00;204285640.34;188431824.41;188427583.30
2018;22906;Fundo de Defesa da Economia Cafeeira;Dimensão contábil;38146933.00;7160651.29;5134544.09;2028641.46
2018;24901;Fundo Nacional de Desenvolvimento Científico e Tecnológico;Dimensão contábil;2633759536.00;916782092.94;815753727.16;803598473.32
2018;24906;Fundo de Universalização dos Serviços de Telecomunicações;Contábil;1186588593.00;101000.00;101000.00;101000.00
2018;24907;Fundo para o Desenvolvimento Tecnológico das Telecomunicações;Dimensão contábil;307092712.00;22587088.91;22587088.91;22587088.91
2018;25913;Fundo Especial de Treinamento e Desenvolvimento;Contábil;31575475.00;29211876.19;20013559.68;19790283.08
2018;30905;Fundo de Defesa de Direitos Difusos;Contábil;569835538.00;1544675.70;340268.15;340268.15
2018;30907;Fundo Penitenciário Nacional;Contábil;1688868627.00;997238571.23;887940664.93;887692604.44
2018;30911;Fundo Nacional de Segurança Pública;Contábil;1010290278.00;683195571.03;262181077.98;262097208.48
2018;30912;Fundo Nacional Antidrogas;Contábil;134940370.00;94490224.02;10678888.49;10593491.98
2018;30913;Fundo Nacional para a Criança e o Adolescente;Contábil;19323120.00;15785371.86;491915.35;491915.35
2018;30914;Fundo Nacional do Idoso;Contábil;18064731.00;12283170.03;4643955.20;4643955.20
2018;36901;Fundo Nacional de Saúde;Contábil;120499054251.00;118003242945.18;105134463014.92;104626131132.10
2018;39901;Fundo da Marinha Mercante;Dimensão contábil;229393726.00;190199069.86;140933000.60;140933000.60
2018;39902;Fundo Nacional de Aviação Civil;Contábil;5984810158.00;2966768593.76;2821222334.05;2820924810.15
2018;40901;Fundo de Amparo ao Trabalhador;Misto;77185948294.00;71336729310.23;69814228235.05;69206901745.04
2018;52901;Fundo do Ministério da Defesa;Contábil;3872024.00;3772347.00;1640485.43;1640485.43
2018;52902;Fundo de Administração do Hospital das Forças Armadas;Contábil;258051468.00;238396023.11;232139479.36;231375245.39
2018;52903;Fundo do Serviço Militar;Contábil;11596620.00;5379626.49;3665635.47;3561822.32
2018;52911;Fundo Aeronáutico;Contábil;3097451401.00;2804052931.28;1677528294.86;1647528258.21
2018;52921;Fundo do Exército;Contábil;1367179899.00;1299981369.36;1135362405.91;1123806653.67
2018;52931;Fundo Naval;Contábil;887268764.00;785478093.36;554519633.76;552949191.86
2018;52932;Fundo de Desenvolvimento do Ensino Profissional Marítimo;Contábil;241944083.00;76328601.53;71063412.41;61247887.75
2018;55901;Fundo Nacional de Assistência Social;Contábil;56697692466.00;56416597948.30;56197578330.00;55228402377.63
2018;56901;Fundo Nacional de Segurança e Educação do Trânsito;Contábil;1151858877.00;151619796.76;136199104.26;136169104.26
2018;56902;Fundo Nacional de Habitação de Interesse Social;Contábil;202914798.00;51351554.20;6221014.35;6221014.35
2018;73901;Fundo Constitucional do Distrito Federal;Contábil;13218604133.00;13216438043.45;13045240843.39;12832117849.59
2018;74901;Recursos sob Supervisão do Funcafé/MAPA;Dimensão financeira;5279337551.00;4923244951.25;3344256292.88;3283753325.96
2018;74904;Recursos sob Supervisão do FMM;Dimensão financeira;4657299025.00;2297623769.39;2297623769.39;2297623769.39
2018;74905;Recursos sob Supervisão do FUNTTEL;Dimensão financeira;196835262.00;196835262.00;196835262.00;196835262.00
2018;74912;Recursos sob Supervisão do FNC;Dimensão financeira;131800000.00;104000000.00;0;0
2018;74913;Recursos sob Supervisão do FNO;Financeiro;2430376978.00;2430376978.00;2257717165.83;2257717165.83
2018;74914;Recursos sob Supervisão do FCO;Financeiro;2430376978.00;2430376978.00;2257717165.83;2257717165.83
2018;74915;Recursos sob Supervisão do FNE;Financeiro;7291130936.00;7291130936.00;6773151579.25;6773151579.25
2018;74916;Recursos sob Supervisão do FNMC;Dimensão financeira;23166881.00;23166881.00;23166881.00;23166881.00
2018;74917;Recursos sob Supervisão do FDA;Financeiro;1116929404.00;1116929404.00;0;0
2018;74918;Recursos sob Supervisão do FDNE;Financeiro;1502692430.00;701115553.05;0;0
2018;74919;Recursos sob Supervisão do FDCO;Financeiro;823237668.00;301489142.24;0;0
