fonte_cod;descricao;fundo_id;vinculo;justificativa
007;Prevenção de Acidentes de Trânsito;FUNSET;a verificar;Prevenção de acidentes de trânsito — destinação típica do Funset
014;Recursos do Fundo Social Destinados à Educação Pública, com Prioridade para Educação Básica, e à Saúde;FSOCIAL;explícito;Fonte nomeia o Fundo Social
019;FUNAPOL;FUNAPOL;explícito;Fonte nomeia o fundo
020;Sinalização, Engenharia de Tráfego e de Campo, Policiamento, Fiscalização e Educação de Trânsito;FUNSET;a verificar;Sinalização, fiscalização e educação de trânsito
022;Aplicações da Cota-Parte da Contribuição Sindical no FAT;FAT;explícito;Fonte nomeia o FAT
024;Pensões Militares e Remuneração dos Inativos Militares do FCDF;FCDF;explícito;Fonte nomeia o FCDF
025;Reaparelhamento e Custeio das Atividades de Controle e Fiscalização de Produtos Químicos e de Repressão ao Tráfico Ilícito de Drogas;FNA;a verificar;Repressão ao tráfico ilícito de drogas
028;Financiamento de Estudos e Serviços de Geologia e Geofísica Aplicados à Prospecção de Combustíveis Fósseis;FNDCT;a verificar;Estudos de geologia e geofísica — CT-Petro/CT-Mineral
029;Fundo Setorial do Audiovisual - FSA, exceto recursos oriundos do FISTEL;FNC;explícito;Recursos do Fistel destinados ao FSA (categoria de programação do FNC)
031;FUNDAF - PGFN;FUNDAF;explícito;Fonte nomeia o fundo
032;FUNDAF - RFB;FUNDAF;explícito;Fonte nomeia o fundo
040;Seguro-Desemprego, Abono Salarial e Previdência Social;FAT;a verificar;Seguro-desemprego e abono salarial — despesas típicas do FAT
042;Capitalização do Fundo Social;FSOCIAL;explícito;Fonte nomeia o Fundo Social
044;Recursos do FISTEL destinados ao FUST;FUST;explícito;Fonte nomeia o Fistel e o Fust
054;Benefícios do Regime Geral de Previdência Social;FRGPS;a verificar;Benefícios do RGPS
055;Benefícios do Regime Próprio de Previdência Social do FCDF - Contribuição do Segurado;FCDF;explícito;Fonte nomeia o FCDF
064;Desenvolvimento e Fomento do Setor de Aviação Civil e da Infraestrutura Aeronáutica Civil;FNAC;a verificar;Fomento da aviação civil e infraestrutura aeronáutica
068;FNDF - Fundo Nacional de Desenvolvimento Florestal;FNDF;explícito;Fonte nomeia o fundo
069;Recursos Arrecadados em Pagamento de Multas por Infração Ambiental a Serem Revertidos a Fundos;FNMA;a verificar;"Multas ambientais revertidas a fundos (sem nomear); o FNMA é o destino típico"
072;Desenvolvimento de Atividades de Gestão Ambiental Relacionadas à Cadeia Produtiva do Petróleo, ou apoio a projetos ou estudos e financiamento de empreendimentos que visem à mitigação da mudança do clima e à adaptação à mudança do clima e aos seus efeitos;FNMC;a verificar;Mitigação e adaptação à mudança do clima (parcela do petróleo)
074;Encargos de Responsabilidade do Fundo Contingente da Extinta Rede Ferroviária Federal S.A;FCRFFSA;explícito;Fonte nomeia o fundo
079;Programa de Proteção a Crianças e Adolescentes Ameaçados de Morte;FNCA;a verificar;Proteção a crianças e adolescentes ameaçados de morte
082;Atividades de Avaliação dos Impactos Econômicos e Sociais da Aplicação dos Recursos dos Fundos de Desenvolvimento Regionais;FDA|FDNE|FDCO;explícito;Fonte cita os Fundos de Desenvolvimento Regionais
083;Reparação de Danos Causados a Interesses Difusos e Coletivos;FDD;a verificar;Reparação de danos a interesses difusos e coletivos
084;FGTS;FGTS;explícito;Fonte nomeia o fundo
088;Fundo Aeroviário, para Execução e Manutenção do Sistema Aeroviário Nacional;FAEROV;explícito;Fonte nomeia o fundo
089;Fundo Aeroviário, para Desenvolvimento do Ensino Profissional Aeronáutico;FAEROV;explícito;Fonte nomeia o fundo
091;Encargos da Intervenção da União no Apoio ao Desenvolvimento da Marinha Mercante e da Indústria de Construção e Reparação Naval Brasileiras;FMM;a verificar;Apoio à Marinha Mercante e à construção naval
097;CT-Aeronáutico e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais;FNDCT;explícito;Fundo setorial de C&T (CT-*), que integra o FNDCT
098;CT-Agronegócio e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais;FNDCT;explícito;Fundo setorial de C&T (CT-*), que integra o FNDCT
